name,office,party,image url,website,facebook,mailing address
Diego Bernal,State Representative District 123,DEM,http://www.house.state.tx.us/photos/members/3110.jpg,,https://www.facebook.com/pages/Diego-Bernal-for-State-Representative-Campaign-Headquarters/410259602454742,"P.O. Box 15677 San Antonio, Texas 78212"
Ina Minjarez,State Representative District 124,DEM,https://pbs.twimg.com/profile_images/572737054551732224/3aAZQ7k2.jpeg,,https://www.facebook.com/Vote4Ina/,"9406 Hazelton Ln. San Antonio, Texas 78251"
Sergio Contreras,State Representative District 124,DEM,,,,"247 Riverdale San Antonio, Texas 78228"
Justin Rodriguez,State Representative District 125,DEM,https://d229l5sflpl9cp.cloudfront.net/canphoto/78692_lg.jpg,http://www.repjrod.com/,https://www.facebook.com/RepJRod/,"P.O. Box 10053 San Antonio, Texas 78201"
Irene Rios,"Justice, 4th Court of Appeals District, Place 6",DEM,http://www.bexardemocrats.org/irene-rios.jpg,http://www.irenerios4justice.com/,https://www.facebook.com/IreneRiosforChiefJustice/,"1923 Culebra San Antonio, TX 78201"
Jason Pulliam,"Justice, 4th Court of Appeals District, Place 6",REP,https://bexargopblog.files.wordpress.com/2015/11/photojasonpulliam.jpg?w=107&h=150,http://jasonforjudge.com/,,"PO Box 460564 San Antonio, TX 78246"
David Kaliski,"District Judge, 131st Judicial District",REP,https://bexargopblog.files.wordpress.com/2016/01/photo_kaliski-e1452205721753.jpg?w=900,http://www.davidkaliski4judge.com/,https://www.facebook.com/DavidKaliskiForJudge,"123 Ogden Lane, Suite A San Antonio, TX 78209"
Norma Gonzales,"District Judge, 131st Judicial District",DEM,https://www.facebook.com/VoteForNorma/photos/a.10153714956064337.1073741829.355677969336/10153714956069337/?type=3&theater,,https://www.facebook.com/VoteForNorma/,"P.O. Box 15243 San Antonio, Texas 78212"
Elena Villaseñor,"District Judge, 131st Judicial District",DEM,"http://static.wixstatic.com/media/f5e37a_d59378b5b7c3430fbe09e2e98d581620.jpg/v1/fill/w_326,h_601,al_c,q_80,usm_0.66_1.00_0.01/f5e37a_d59378b5b7c3430fbe09e2e98d581620.jpg",www.electelena.com,https://www.facebook.com/Elena-Villasenor-for-Judge-1198831046810013/?sk=app_121629204551128,"P.O. Box 781374 San Antonio, Texas 78278"
Devin Gabriel,"District Judge, 131st Judicial District",DEM,https://www.facebook.com/GabrielforJudge/photos/a.1476534329336695.1073741825.1472180193105442/1476669632656498/?type=3&theater,,https://www.facebook.com/GabrielforJudge/,"P.O. 591671 San Antonio, Texas 78259"
Laura Salinas,"District Judge, 166th Judicial District",DEM,http://2.bp.blogspot.com/-jJHFf_4b9F4/UOUFSFV4HAI/AAAAAAAAU0k/ZjNN0_zNfMM/s1600/mery-salinas--olivarri+209.JPG,,https://www.facebook.com/Judge-Laura-Salinas-312615035429520/,"5150 Broadway #431 San Antonio, Texas 78209"
Libby Wiedermann,"District Judge, 175th Judicial District",REP,https://bexargopblog.files.wordpress.com/2015/12/campaign-photo.jpg,http://libbyforjudge.com/,https://www.facebook.com/Libby-Wiedermann-For-Judge-1703926906502349/,"206 E. Locust Street San Antonio, TX 78212"
Catherine Torrres-Stahl,"District Judge, 175th Judicial District",DEM,http://www.bexardemocrats.org/Stahl.jpg,http://www.votetorres-stahl.com/,https://www.facebook.com/cathyfor175th/?hc_location=ufi,"P.O. Box 830696 San Antonio, Texas 78283"
Tony Jimenez III,"District Judge, 175th Judicial District",DEM,http://www.bexardemocrats.org/Tony-Jimenez.gif,,,"319 W Huisache San Antonio, TX 78212"
Ron Rangel,"District Judge, 379th Judicial District",DEM,https://www.facebook.com/JudgeRonRangel/photos/a.194196110627939.44219.194195263961357/967088030005406/?type=3&theater,,,"PO Box 690454 San Antonio, TX 78269"
Michael Mery,"District Judge, 37th Judicial District",DEM,http://1.bp.blogspot.com/-scX0MBWByZc/TuGZTbUU7eI/AAAAAAAALYQ/vR-kMGWv-xg/s1600/michmery%2B025.JPG,www.electmichaelmery.com,https://www.facebook.com/JudgeMery/,"P. O. Box 380301 San Antonio, Texas 78268"
Laura Parker,"District Judge, 386th Judicial District",REP,https://bexargopblog.files.wordpress.com/2015/11/photolauraparker.jpg?w=107&h=150,judgelauraparker.com,https://www.facebook.com/pages/Judge-Laura-Parker/470042986345958,"P.O. Box 90462 San Antonio, TX 78209"
Carlos Quezada,"District Judge, 386th Judicial District",DEM,http://carlosquezadaforjudge.com/images/carlos-lawbooks.jpg,http://carlosquezadaforjudge.com/,https://www.facebook.com/CarlosQuezadaForJudge/,"322 E. Mayfield San Antonio, Texas 78214"
